                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.461,                 1.9987,                 1.6422,                0.69501,                 0.5064,                0.53601,                0.23252,                 1.9892,                 4.4924,                  2.723,             0.00066142,             0.00066142,             0.00066142
                      2,                 1.4723,                 1.7157,                 1.6344,                0.63988,                0.61247,                 0.5974,                0.27577,                 1.7566,                 2.1285,                 2.1484,              0.0013018,              0.0013018,              0.0013018
                      3,                 1.5294,                 1.6379,                 1.6802,                0.57198,                0.62291,                0.55877,                0.20164,                 2.1244,                 1.9709,                  2.364,              0.0019158,              0.0019158,              0.0019158
                      4,                 1.5144,                 1.5198,                 1.6679,                0.74097,                0.62873,                0.65622,                0.33204,                 1.7787,                 1.7431,                  2.159,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5352,                 1.4686,                 1.6829,                0.73085,                0.63284,                 0.6856,                0.30078,                  2.032,                 1.6656,                  2.274,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4816,                 1.3288,                 1.6188,                0.70744,                0.65533,                0.69419,                0.31105,                 1.9241,                 1.4884,                 2.1772,               0.001802,               0.001802,               0.001802
                      7,                 1.5047,                 1.3411,                 1.6438,                0.64832,                 0.6206,                0.59532,                  0.254,                 1.9509,                 1.8007,                 2.3779,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4669,                 1.3165,                 1.6323,                 0.7662,                0.70162,                0.78001,                0.40844,                 1.6192,                 1.3676,                 1.8743,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4116,                 1.2193,                  1.563,                0.81029,                0.71003,                0.74925,                0.36285,                 1.8294,                 1.3395,                 2.0758,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3745,                 1.1648,                 1.5415,                0.77486,                0.69021,                0.77102,                0.37806,                 1.7297,                 1.2704,                 1.9161,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3834,                 1.1419,                 1.5608,                 0.7687,                 0.7019,                0.75247,                0.40489,                 1.6235,                 1.2463,                 1.8905,               0.001604,               0.001604,               0.001604
                     12,                 1.3253,                 1.1118,                 1.5149,                0.83821,                0.75818,                0.81261,                0.46464,                 1.4508,                 1.0582,                 1.6339,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3306,                 1.0945,                 1.5119,                0.85794,                0.79133,                0.85594,                0.48122,                 1.4598,                0.94196,                 1.6873,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3235,                 1.0718,                 1.5123,                0.87442,                0.69819,                 0.8247,                 0.4543,                 1.5779,                 1.0405,                 1.8003,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2922,                 1.0211,                 1.4697,                0.84737,                0.81246,                0.87284,                0.46089,                  1.643,                 1.0137,                  1.811,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2675,                 1.0118,                 1.4657,                0.86966,                0.82114,                0.86046,                  0.438,                 1.6173,                0.92404,                 1.8066,               0.001406,               0.001406,               0.001406
                     17,                 1.2914,                0.98092,                 1.4591,                0.82308,                0.77236,                0.84173,                0.49236,                 1.5108,                0.97368,                 1.6926,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2624,                0.97323,                 1.4626,                0.88781,                0.79348,                0.87862,                0.47167,                 1.5764,                0.92532,                  1.775,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2297,                0.90816,                 1.4273,                0.82916,                0.77605,                0.83634,                0.47965,                 1.5252,                0.94941,                 1.7233,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2362,                0.90953,                 1.4249,                0.81446,                0.81572,                0.85417,                0.48838,                 1.5078,                0.89969,                 1.6848,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2216,                0.88495,                 1.4111,                0.79844,                0.79439,                0.84595,                0.47479,                 1.5775,                0.99514,                 1.7634,               0.001208,               0.001208,               0.001208
                     22,                 1.2129,                0.88063,                 1.4027,                0.86678,                 0.8374,                 0.8878,                 0.4864,                 1.6192,                0.88855,                 1.7686,              0.0011684,              0.0011684,              0.0011684
                     23,                  1.173,                0.86046,                 1.3821,                0.80288,                 0.8168,                0.86205,                 0.4723,                 1.5653,                0.94522,                 1.8736,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1639,                0.85449,                 1.4002,                0.83853,                 0.8645,                0.88647,                 0.4833,                 1.5797,                0.85861,                 1.7691,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.2112,                0.85436,                 1.3832,                0.82385,                 0.8619,                 0.8587,                0.48139,                 1.5502,                0.84478,                 1.6898,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1547,                0.82017,                  1.364,                0.87101,                 0.8645,                0.89875,                0.52336,                 1.4193,                0.76837,                 1.6241,                0.00101,                0.00101,                0.00101
                     27,                 1.1504,                0.79426,                  1.362,                0.89736,                0.85297,                0.92353,                 0.5336,                 1.4445,                0.74902,                 1.6295,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1417,                0.79009,                 1.3621,                 0.8708,                0.85851,                0.91426,                0.51742,                 1.4898,                0.77126,                 1.7071,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1373,                0.79024,                 1.3645,                0.85182,                0.85366,                0.89712,                0.47173,                 1.6431,                0.82905,                 1.8581,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1082,                0.74842,                 1.3225,                0.81758,                0.82385,                0.85891,                0.49101,                 1.5585,                0.90933,                 1.7708,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1147,                0.75916,                 1.3434,                0.90431,                0.84514,                0.90764,                0.52643,                 1.4359,                0.74803,                 1.6057,               0.000812,               0.000812,               0.000812
                     32,                 1.0974,                0.74734,                 1.3416,                0.91163,                0.84824,                0.92491,                0.55157,                 1.4437,                0.74578,                 1.6069,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0675,                0.71344,                 1.3082,                0.86332,                0.88889,                0.92662,                0.54825,                 1.4604,                0.73299,                 1.6565,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.095,                0.73535,                 1.3239,                0.92196,                0.84553,                0.92762,                0.52835,                 1.4742,                0.72422,                 1.6762,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0483,                0.71618,                  1.299,                0.87894,                 0.8657,                0.90683,                0.50762,                 1.4909,                0.72905,                 1.7155,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0564,                0.69383,                 1.3036,                0.90381,                0.86581,                0.93143,                0.52425,                 1.5202,                0.69709,                  1.684,               0.000614,               0.000614,               0.000614
                     37,                  1.083,                0.70588,                  1.309,                0.94661,                0.82385,                0.92399,                  0.549,                 1.4632,                0.72916,                 1.6268,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0301,                0.69998,                  1.289,                0.86308,                0.85637,                0.90671,                0.54681,                 1.4712,                0.76745,                  1.679,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.043,                0.67057,                 1.2839,                0.92766,                0.86885,                0.93111,                0.57856,                 1.3832,                0.67491,                 1.5963,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0036,                0.65588,                 1.2681,                0.93171,                0.85908,                 0.9285,                0.56023,                 1.4344,                0.67897,                 1.6769,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.9147,                0.54127,                 1.2796,                0.92399,                 0.8645,                0.92659,                0.56014,                 1.3816,                0.66656,                  1.587,               0.000416,               0.000416,               0.000416
                     42,                0.87497,                0.50285,                 1.2439,                0.92241,                0.88618,                0.94356,                0.55961,                 1.3962,                0.66252,                 1.6061,              0.0003764,              0.0003764,              0.0003764
                     43,                0.85557,                0.48145,                  1.235,                0.95014,                0.87798,                0.93523,                0.53392,                 1.4233,                 0.6568,                 1.6458,              0.0003368,              0.0003368,              0.0003368
                     44,                  0.842,                0.46458,                 1.2131,                0.91538,                0.87944,                 0.9246,                0.55533,                 1.3927,                0.65212,                 1.6332,              0.0002972,              0.0002972,              0.0002972
                     45,                0.83956,                0.45858,                 1.2195,                0.89972,                0.87536,                0.91138,                0.54928,                  1.429,                0.71356,                 1.6529,              0.0002576,              0.0002576,              0.0002576
                     46,                0.82162,                0.45631,                 1.2074,                0.90146,                0.88618,                0.92496,                0.56812,                 1.3965,                0.65456,                 1.5987,               0.000218,               0.000218,               0.000218
                     47,                0.81259,                0.45878,                  1.201,                0.90688,                0.88076,                0.92067,                0.56473,                 1.4069,                0.67277,                  1.625,              0.0001784,              0.0001784,              0.0001784
                     48,                0.78224,                 0.4265,                 1.1825,                0.91858,                 0.8916,                0.92329,                0.56712,                 1.3999,                0.66655,                  1.622,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.7845,                0.43306,                 1.1863,                0.90016,                0.87962,                0.91957,                0.56648,                  1.406,                0.67242,                  1.624,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.77269,                 0.4181,                  1.176,                0.92906,                0.87263,                0.91906,                0.55945,                  1.412,                0.67653,                 1.6355,               5.96e-05,               5.96e-05,               5.96e-05
